ij_app, ji_app, ij_inp, ji_inp,
0.001, 0, 0, 0,
0.001, 0, 0.001, 0.001,
0.001, 0, 0.001, 0.001,
0.023, 0.001, 0.002, 0.003,
0.005, 0.003, 0.004, 0.003,
0.009, 0.005, 0.006, 0.006,
0.061, 0.008, 0.01, 0.009,
0.016, 0.011, 0.013, 0.012,
0.02, 0.015, 0.09, 0.016,
0.026, 0.018, 0.021, 0.02,
0.027, 0.071, 0.077, 0.083,
0.05, 0.034, 0.034, 0.032,
0.046, 0.035, 0.038, 0.047,
0.044, 0.044, 0.05, 0.043,
0.083, 0.045, 0.054, 0.05,
0.062, 0.054, 0.058, 0.156,
0.065, 0.06, 0.068, 0.178,
0.093, 0.07, 0.242, 0.123,
0.113, 0.13, 0.114, 0.197,
0.075, 0.118, 0.203, 0.13,
0.118, 0.18, 0.262, 0.11,
0.143, 0.302, 0.32, 0.126,
0.178, 0.26, 0.29, 0.153,
0.192, 0.247, 0.264, 0.31,
0.299, 0.314, 0.237, 0.208,
0.468, 0.231, 0.198, 0.257,
0.184, 0.178, 0.245, 0.252,
0.214, 0.231, 0.323, 0.198,
0.467, 0.508, 0.304, 0.337,
0.312, 0.805, 0.323, 0.343,
0.276, 0.451, 0.239, 0.266,
0.307, 0.321, 0.259, 0.297,
0.305, 0.531, 0.3, 0.472,
0.283, 0.65, 0.666, 0.28,
0.381, 0.583, 0.355, 0.374,
0.374, 0.62, 0.64, 0.479,
0.973, 0.709, 0.593, 0.385,
0.239, 0.915, 0.5, 0.435,
0.512, 0.694, 0.503, 0.439,
0.638, 0.677, 0.522, 0.528,
0.759, 1.097, 0.781, 0.76,
0.84, 0.869, 0.636, 2.363,
1.963, 1.195, 0.953, 0.81,
0.803, 1.086, 0.889, 0.754,
1.203, 1.04, 0.943, 0.747,
0.927, 1.811, 2.637, 1.778,
1.327, 1.064, 1.012, 0.816,
1.202, 1.043, 1.016, 1.003,
1.292, 1.171, 2.452, 1.514,
1.323, 1.268, 1.17, 0.971,
2.626, 1.344, 1.373, 1.029,
1.001, 3.947, 6.709, 5.966,
3.443, 3.132, 2.573, 1.342,
1.404, 1.496, 1.625, 1.197,
2.146, 1.967, 1.944, 1.405,
1.937, 1.589, 1.624, 1.257,
1.681, 2.012, 3.732, 2.344,
1.818, 1.766, 1.958, 1.573,
1.865, 2.301, 4.375, 2.098,
1.749, 2.053, 2.24, 1.836,
3.319, 3.295, 2.483, 1.7,
2.365, 1.979, 2.456, 4.91,
2.764, 2.216, 2.427, 1.866,
2.658, 3.593, 2.741, 2.052,
1.82, 2.794, 2.004, 3.229,
3.432, 2.52, 2.817, 2.08,
2.481, 3.388, 3.525, 2.355,
2.653, 2.582, 4.263, 4.511,
2.527, 3.702, 9.647, 8.091,
3.504, 3.542, 3.332, 2.719,
3.011, 3.292, 5.677, 3.088,
3.148, 3.081, 4.153, 3.293,
3.408, 3.291, 3.502, 5.332,
3.685, 3.258, 3.631, 5.116,
3.657, 4.571, 3.76, 5.641,
4.206, 3.146, 3.904, 5.629,
4.054, 3.206, 3.818, 6.246,
4.273, 3.458, 4.779, 4.994,
3.898, 3.438, 5.913, 4.328,
4.109, 3.633, 6.313, 4.045,
4.386, 4.065, 5.208, 4.087,
4.204, 5.199, 5.255, 4.384,
6.486, 3.938, 4.647, 4.753,
5.566, 4.371, 6.459, 7.622,
4.965, 4.799, 6.791, 5.35,
5.458, 5.617, 5.687, 5.54,
5.794, 4.461, 5.724, 5.631,
5.668, 4.563, 5.935, 5.515,
5.203, 6.042, 5.595, 5.435,
8.701, 6.793, 7.576, 5.576,
5.77, 6.013, 4.558, 4.694,
7.133, 5.381, 7.86, 5.768,
9.352, 5.601, 7.517, 7.18,
7.224, 6.42, 6.096, 6.164,
9.622, 10.841, 8.93, 8.258,
7.188, 6.412, 6.334, 5.335,
7.814, 6.398, 6.934, 7.118,
8.263, 9.825, 7.759, 7.755,
8.086, 7.369, 8.364, 8.768,
8.08, 7.575, 7.023, 7.821,
