ij_app, ji_app, ij_inp, ji_inp,
00.001, 0.001, 0, 0,
0.001, 0.001, 0.002, 0.002,
0.004, 0.003, 0.003, 0.003,
0.009, 0.005, 0.006, 0.006,
0.011, 0.007, 0.011, 0.01,
0.015, 0.012, 0.015, 0.015,
0.021, 0.017, 0.023, 0.023,
0.029, 0.024, 0.031, 0.031,
0.04, 0.033, 0.043, 0.042,
0.458, 0.076, 0.307, 0.072,
0.143, 0.161, 0.118, 0.291,
0.075, 0.106, 0.131, 0.096,
0.084, 0.088, 0.169, 0.116,
0.268, 0.136, 0.16, 0.199,
0.184, 0.128, 0.218, 0.211,
0.273, 0.207, 0.271, 0.182,
0.242, 0.16, 0.4, 0.287,
0.186, 0.204, 0.264, 0.236,
0.178, 0.178, 0.298, 0.202,
0.17, 0.187, 0.234, 0.176,
0.164, 0.199, 0.243, 0.238,
0.239, 0.258, 0.445, 0.389,
0.282, 0.344, 0.475, 0.443,
0.296, 0.396, 0.512, 0.402,
0.27, 0.588, 0.452, 0.424,
2.003, 0.624, 1.047, 0.815,
0.387, 0.389, 0.443, 0.682,
0.772, 0.42, 0.661, 0.518,
0.476, 0.755, 0.642, 0.574,
0.439, 1.457, 0.841, 0.723,
0.434, 0.599, 1.873, 2.158,
1.178, 0.665, 0.709, 0.956,
0.645, 0.824, 0.919, 0.965,
0.432, 0.864, 0.904, 0.837,
0.498, 1.02, 0.861, 2.402,
1.09, 1.099, 2.006, 1.096,
0.88, 1.322, 0.99, 1.041,
0.73, 1.251, 1.212, 1.152,
3.31, 2.773, 1.625, 1.258,
1.022, 1.667, 1.443, 1.428,
0.959, 2.341, 4.543, 1.878,
1.33, 1.874, 1.692, 1.65,
1.28, 2.491, 3.196, 2.372,
1.736, 1.86, 1.703, 1.562,
1.463, 2.712, 3.348, 2.586,
2.223, 2.624, 2.521, 2.987,
4.635, 2.748, 2.549, 2.555,
1.683, 2.716, 2.745, 2.018,
1.659, 2.344, 2.206, 2.031,
2.952, 3.286, 3.317, 2.727,
2.819, 2.431, 5.127, 2.359,
1.34, 3.992, 12.894, 9.037,
3.064, 2.171, 2.672, 2.479,
2.297, 2.023, 5.142, 3.911,
2.423, 2.062, 2.427, 5.408,
4.412, 4.234, 5.491, 5.107,
2.382, 2.392, 2.359, 1.945,
5.73, 3.134, 3.129, 3.152,
4.524, 5.562, 4.116, 3.595,
7.007, 5.709, 8.603, 6.944,
5.725, 5.682, 4.278, 3.583,
3.416, 4.899, 4.023, 3.679,
4.932, 4.35, 4.084, 3.795,
5.932, 4.237, 4.313, 3.893,
