ijk, ikj, jik, jki, kij, kji
1.468,2.232,2.083,3.125,2.107,3.542
1.109,1.986,1.896,7.034,1.897,6.367
0.934,1.676,1.586,6.795,1.842,7.514
1.161,2.133,1.328,6.067,1.508,6.422
0.913,1.628,1.369,8.639,2.001,8.010
0.836,2.058,1.521,10.550,2.246,8.072
0.909,2.135,1.535,11.178,2.360,9.053
0.786,1.915,1.488,9.362,2.372,8.598
0.941,2.289,1.520,8.173,2.404,11.053
1.097,2.333,1.641,10.132,2.457,10.798
1.046,2.152,1.659,10.201,2.026,9.743
0.979,2.278,1.621,10.857,2.082,10.525
0.998,2.065,1.543,10.450,2.245,11.030
1.052,2.307,1.575,11.467,2.169,9.870
1.048,2.173,1.557,10.983,2.012,9.405
1.069,2.289,1.663,11.199,2.172,11.972
1.109,2.148,1.509,10.569,1.995,10.294
1.031,1.916,1.538,11.104,2.103,9.544
1.026,1.887,1.506,9.934,1.978,9.367
1.049,1.612,1.465,10.015,1.634,9.264
1.044,1.416,1.454,9.169,1.382,9.373
1.022,1.482,1.458,10.057,1.444,9.411
1.029,1.343,1.415,9.911,1.312,9.346
1.045,1.329,1.463,8.875,1.184,7.726
0.858,1.155,1.369,9.222,1.080,7.138
0.978,1.186,1.337,8.746,1.236,8.845
0.961,1.173,1.271,9.033,1.108,8.754
0.955,1.131,1.281,9.025,1.126,9.083
0.954,1.134,1.335,9.869,1.165,9.238
0.976,1.129,1.307,9.619,1.148,8.745
0.900,0.875,1.235,9.806,1.119,8.914
0.982,1.013,1.355,9.979,1.173,9.102
0.973,1.194,1.340,10.033,1.162,9.315
0.992,1.173,1.355,10.153,1.160,9.739
1.003,1.156,1.271,9.374,1.147,9.342
0.964,1.085,1.333,9.662,1.156,9.470
1.005,1.153,1.306,10.422,1.193,9.524
1.008,1.084,1.233,8.891,1.046,9.352
0.969,1.068,1.197,8.934,1.023,9.237
0.917,1.069,1.216,9.326,1.115,8.642
0.920,1.053,1.260,9.637,1.110,9.739
0.920,1.019,1.242,9.924,1.018,8.476
0.920,1.083,1.154,8.904,1.061,8.447
0.915,1.012,1.188,9.280,1.008,8.420
0.910,1.028,1.185,9.518,1.083,8.428
0.899,0.927,1.175,9.298,0.966,8.713
0.882,0.887,1.052,8.592,0.907,6.631
0.882,0.902,1.110,9.107,0.994,8.467
0.935,0.978,1.170,8.875,0.923,8.233
0.903,0.898,1.087,8.765,0.904,8.538
0.944,0.916,1.250,11.246,0.992,9.051
