ijk, ikj, jik, jki, kij, kji
1.111 ,1.667 ,1.667 ,2.500 ,2.000 ,3.333 ,
0.918 ,1.709 ,1.385 ,4.737 ,1.731 ,5.192 ,
0.566 ,1.004 ,0.969 ,4.480 ,1.279 ,4.310 ,
0.977 ,1.850 ,1.223 ,5.532 ,0.658 ,3.854 ,
0.917 ,1.155 ,1.536 ,12.398 ,2.572 ,7.168 ,
0.891 ,1.755 ,1.746 ,13.231 ,2.230 ,3.688 ,
0.895 ,2.139 ,1.288 ,10.952 ,2.065 ,7.695 ,
0.918 ,1.794 ,1.681 ,9.817 ,1.828 ,6.078 ,
0.904 ,1.662 ,1.069 ,7.174 ,1.985 ,11.841 ,
1.159 ,2.143 ,1.446 ,11.483 ,2.432 ,10.583 ,
0.878 ,2.399 ,1.660 ,7.952 ,1.533 ,8.741 ,
0.956 ,2.347 ,1.317 ,10.760 ,2.029 ,9.766 ,
0.936 ,2.174 ,1.622 ,7.887 ,2.033 ,8.700 ,
0.835 ,1.923 ,1.344 ,8.769 ,1.435 ,8.315 ,
0.973 ,2.102 ,1.350 ,8.497 ,1.779 ,10.500 ,
0.949 ,2.115 ,1.515 ,8.250 ,1.776 ,12.146 ,
1.021 ,1.811 ,1.196 ,8.342 ,1.704 ,7.349 ,
0.855 ,1.543 ,1.277 ,10.035 ,1.935 ,8.476 ,
0.895 ,1.463 ,1.255 ,6.431 ,1.637 ,7.548 ,
0.852 ,1.316 ,1.243 ,9.224 ,1.391 ,8.355 ,
0.883 ,1.141 ,1.201 ,8.111 ,1.145 ,7.078 ,
0.886 ,1.291 ,1.368 ,8.355 ,1.381 ,8.095 ,
0.866 ,1.162 ,1.268 ,10.066 ,1.137 ,8.605 ,
0.905 ,1.139 ,1.360 ,9.140 ,1.092 ,7.785 ,
0.840 ,1.138 ,1.314 ,8.793 ,1.148 ,6.608 ,
0.875 ,1.119 ,1.346 ,7.450 ,1.224 ,8.005 ,
0.837 ,1.042 ,1.239 ,8.571 ,1.005 ,7.331 ,
0.834 ,1.001 ,1.160 ,7.736 ,1.051 ,7.997 ,
0.890 ,0.983 ,1.216 ,8.206 ,1.014 ,7.803 ,
0.864 ,0.987 ,1.160 ,8.011 ,1.034 ,7.608 ,
0.592 ,0.005 ,0.997 ,10.713 ,1.304 ,11.165 ,
1.088 ,0.770 ,1.247 ,8.673 ,1.122 ,8.732 ,
0.942 ,1.117 ,1.312 ,9.472 ,1.015 ,8.730 ,
0.878 ,1.066 ,1.322 ,9.548 ,1.113 ,9.358 ,
0.944 ,1.137 ,1.300 ,8.936 ,1.133 ,8.815 ,
0.951 ,1.069 ,1.225 ,9.552 ,1.138 ,8.874 ,
0.977 ,1.034 ,1.268 ,9.736 ,1.106 ,9.363 ,
0.961 ,0.906 ,1.146 ,8.363 ,1.000 ,9.513 ,
0.865 ,1.000 ,1.083 ,8.576 ,0.837 ,8.468 ,
0.813 ,0.914 ,1.102 ,8.592 ,1.003 ,8.232 ,
0.822 ,0.846 ,1.030 ,7.413 ,0.803 ,8.093 ,
0.765 ,0.829 ,1.030 ,9.453 ,0.903 ,7.552 ,
0.785 ,0.841 ,0.995 ,7.866 ,0.904 ,7.546 ,
0.800 ,0.865 ,1.052 ,8.632 ,0.869 ,6.877 ,
0.837 ,0.881 ,1.020 ,8.345 ,0.920 ,7.378 ,
0.791 ,0.774 ,1.023 ,8.918 ,0.882 ,7.909 ,
0.828 ,0.865 ,1.038 ,8.544 ,0.882 ,7.455 ,
0.813 ,0.821 ,0.984 ,8.107 ,0.870 ,7.566 ,
0.825 ,0.786 ,1.007 ,8.256 ,0.833 ,7.432 ,
0.842 ,0.722 ,0.931 ,7.753 ,0.806 ,7.408 ,
0.799 ,0.812 ,1.087 ,8.880 ,0.854 ,7.303 ,
