ijk, ikj, jik, jki, kij, kji
0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,
0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,
0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,
0.002 ,0.001 ,0.001 ,0.000 ,0.001 ,0.000 ,
0.004 ,0.001 ,0.003 ,0.000 ,0.002 ,0.000 ,
0.004 ,0.003 ,0.003 ,0.000 ,0.003 ,0.001 ,
0.009 ,0.003 ,0.003 ,0.000 ,0.003 ,0.001 ,
0.014 ,0.005 ,0.005 ,0.001 ,0.004 ,0.001 ,
0.015 ,0.007 ,0.009 ,0.002 ,0.009 ,0.002 ,
0.016 ,0.014 ,0.022 ,0.006 ,0.023 ,0.004 ,
0.041 ,0.029 ,0.039 ,0.003 ,0.011 ,0.004 ,
0.060 ,0.019 ,0.026 ,0.004 ,0.024 ,0.004 ,
0.057 ,0.026 ,0.034 ,0.005 ,0.026 ,0.005 ,
0.067 ,0.039 ,0.049 ,0.007 ,0.026 ,0.007 ,
0.109 ,0.077 ,0.046 ,0.008 ,0.042 ,0.007 ,
0.080 ,0.055 ,0.076 ,0.010 ,0.058 ,0.011 ,
0.109 ,0.056 ,0.072 ,0.013 ,0.069 ,0.020 ,
0.147 ,0.088 ,0.094 ,0.015 ,0.081 ,0.010 ,
0.173 ,0.098 ,0.128 ,0.019 ,0.107 ,0.022 ,
0.193 ,0.124 ,0.143 ,0.023 ,0.142 ,0.021 ,
0.244 ,0.203 ,0.169 ,0.027 ,0.190 ,0.025 ,
0.285 ,0.201 ,0.182 ,0.033 ,0.226 ,0.028 ,
0.278 ,0.267 ,0.213 ,0.030 ,0.232 ,0.035 ,
0.349 ,0.295 ,0.246 ,0.035 ,0.318 ,0.045 ,
0.403 ,0.356 ,0.292 ,0.042 ,0.332 ,0.046 ,
0.462 ,0.399 ,0.320 ,0.046 ,0.383 ,0.047 ,
0.453 ,0.477 ,0.366 ,0.053 ,0.469 ,0.054 ,
0.582 ,0.570 ,0.391 ,0.059 ,0.522 ,0.078 ,
0.648 ,0.617 ,0.445 ,0.064 ,0.591 ,0.073 ,
0.719 ,0.701 ,0.525 ,0.070 ,0.664 ,0.067 ,
0.781 ,0.764 ,0.575 ,0.089 ,0.857 ,0.082 ,
0.936 ,0.898 ,0.652 ,0.080 ,0.773 ,0.093 ,
0.995 ,1.180 ,0.849 ,0.082 ,0.962 ,0.095 ,
0.963 ,1.294 ,0.761 ,0.104 ,0.827 ,0.110 ,
1.014 ,1.099 ,0.743 ,0.103 ,0.874 ,0.105 ,
0.983 ,1.049 ,0.763 ,0.110 ,0.958 ,0.112 ,
1.134 ,1.192 ,0.838 ,0.122 ,1.046 ,0.123 ,
1.389 ,1.435 ,1.021 ,0.128 ,1.369 ,0.144 ,
1.460 ,1.601 ,1.539 ,0.184 ,2.119 ,0.175 ,
1.544 ,1.758 ,1.290 ,0.159 ,1.624 ,0.152 ,
1.395 ,1.230 ,1.050 ,0.121 ,1.155 ,0.170 ,
1.380 ,1.488 ,1.142 ,0.138 ,1.306 ,0.159 ,
1.513 ,1.795 ,1.759 ,0.150 ,1.401 ,0.169 ,
1.976 ,1.531 ,1.250 ,0.150 ,1.398 ,0.154 ,
2.278 ,2.543 ,1.936 ,0.231 ,2.294 ,0.216 ,
2.154 ,2.551 ,1.459 ,0.169 ,1.751 ,0.197 ,
2.101 ,2.077 ,2.308 ,0.244 ,2.971 ,0.265 ,
2.518 ,2.928 ,2.158 ,0.223 ,2.366 ,0.381 ,
2.411 ,2.922 ,2.444 ,0.243 ,2.254 ,0.237 ,
2.513 ,2.651 ,2.081 ,0.244 ,2.569 ,0.233 ,
2.753 ,2.976 ,2.212 ,0.253 ,2.700 ,0.293 ,
2.721 ,3.831 ,2.427 ,0.254 ,3.540 ,0.283 ,
2.827 ,6.159 ,2.484 ,0.322 ,5.261 ,0.330 ,
2.859 ,7.687 ,2.732 ,0.391 ,6.706 ,0.514 ,
3.317 ,9.997 ,3.074 ,0.384 ,9.688 ,0.466 ,
5.192 ,22.047 ,5.520 ,0.762 ,22.792 ,0.797 ,
5.973 ,28.392 ,5.375 ,1.570 ,23.574 ,0.578 ,
