	DATE	OPEN	CLOSE	HIGH	LOW	LTP	VOLUME	VALUE	NO OF TRADES
0	2023-01-16	603.0	603.0	606.1	600.6	603.2	5483191	3307558082.15	114056
1	2023-01-13	597.9	600.1	602.9	593.65	600.7	7877610	4716567188.3	122377
2	2023-01-12	597.9	594.9	597.9	590.1	594.95	8183715	4857601333.75	195861
3	2023-01-11	596.45	596.7	599.5	592.25	597.0	7419630	4427502701.85	120446
4	2023-01-10	608.45	595.15	609.0	590.6	595.5	10622660	6332208142.65	187602
5	2023-01-09	605.0	607.7	609.0	600.1	608.45	8878905	5381251510.2	160223
6	2023-01-06	607.4	600.65	607.45	597.0	601.0	7972036	4795747048.6	154179
7	2023-01-05	607.0	605.1	611.6	601.95	605.75	8241475	4992982082.0	146571
8	2023-01-04	611.85	605.2	614.95	604.0	605.6	7011191	4260969479.35	113548
9	2023-01-03	614.5	612.4	616.6	610.0	612.95	6818062	4181258078.2	122799
10	2023-01-02	614.95	612.2	619.2	611.2	612.6	6726084	4132615299.65	125418
11	2022-12-30	615.25	613.7	620.55	611.35	614.25	13052895	8033100347.05	158347
12	2022-12-29	600.0	611.8	618.0	597.15	614.05	20130392	12242524564.7	168187
13	2022-12-28	600.9	601.05	607.0	598.55	601.0	7988631	4816651444.45	143945
14	2022-12-27	600.4	601.9	603.1	593.3	602.0	9638618	5765912745.95	206219
15	2022-12-26	574.0	597.1	601.7	570.7	597.1	13201587	7784134332.2	210003
16	2022-12-23	590.0	574.0	590.7	571.5	573.1	13047046	7561431125.75	226901
17	2022-12-22	597.0	593.4	599.0	587.55	592.0	8740149	5178437456.55	136417
18	2022-12-21	605.9	593.4	609.15	589.6	594.3	9217253	5527195688.5	145768
19	2022-12-20	603.0	604.45	606.5	599.55	605.3	6753785	4070154751.5	128701
20	2022-12-19	604.0	604.45	609.5	603.0	605.5	8322012	5041268364.25	149442
21	2022-12-16	612.0	603.35	615.6	602.1	604.35	9435071	5734914585.6	160875
22	2022-12-15	625.55	615.95	629.55	614.3	614.7	10622271	6606176441.8	148853
23	2022-12-14	618.5	625.5	626.75	617.5	625.3	14010673	8735884073.65	187174
24	2022-12-13	613.5	616.75	617.4	612.5	616.8	7455415	4588404579.4	162670
25	2022-12-12	614.8	613.05	618.7	611.0	612.35	9285187	5698647281.15	135955
26	2022-12-09	614.4	616.5	618.0	609.1	617.0	11202267	6876434227.3	169991
27	2022-12-08	609.75	611.65	613.8	607.15	612.25	10020015	6123608626.5	146277
28	2022-12-07	610.85	607.05	612.9	604.5	606.95	7613892	4628904222.25	113416
29	2022-12-06	614.75	608.95	619.8	607.8	609.3	12996244	7970503352.0	190699
30	2022-12-05	608.5	617.3	618.0	607.55	616.7	11585602	7114164816.2	210728
31	2022-12-02	607.5	607.55	609.6	604.25	607.6	7533838	4575252955.95	142901
32	2022-12-01	607.85	608.1	609.8	601.55	608.0	14209313	8606271146.8	172004
33	2022-11-30	608.5	602.45	611.4	598.4	602.95	15606230	9412010412.2	174362
34	2022-11-29	607.1	608.55	611.8	607.1	608.1	6942919	4230494096.3	121735
35	2022-11-28	605.6	608.6	610.9	602.35	608.0	7934274	4808229149.85	121851
36	2022-11-25	610.55	607.4	613.7	606.25	607.2	9994513	6089640965.5	136359
37	2022-11-24	609.75	609.35	611.3	605.8	609.6	8960032	5454395604.45	128229
38	2022-11-23	601.55	607.65	609.6	601.0	607.1	12435924	7542386457.5	171897
39	2022-11-22	598.15	599.1	600.7	596.15	599.0	8048595	4817532263.45	126028
40	2022-11-21	602.1	598.1	602.1	595.35	598.0	7412419	4435509514.55	135865
41	2022-11-18	601.0	602.7	605.75	597.15	602.05	12933675	7774746404.45	155935
42	2022-11-17	599.1	599.05	602.75	596.15	598.45	8167131	4895433201.45	114824
43	2022-11-16	599.95	599.75	603.5	596.0	599.0	11555749	6939489693.9	168811
44	2022-11-15	594.3	600.85	602.1	592.65	601.5	10286417	6148169628.95	153811
45	2022-11-14	603.95	592.55	603.95	591.65	592.5	12957268	7723573323.3	227415
46	2022-11-11	617.25	601.3	619.55	598.5	600.0	15525267	9397103693.35	220631
47	2022-11-10	613.1	605.75	615.1	602.2	605.05	11618405	7055030835.7	232699
48	2022-11-09	621.0	615.55	621.0	610.55	614.6	18939854	11649523009.9	302328
49	2022-11-07	613.0	614.15	622.7	607.7	613.8	44265903	27248449289.6	470162
50	2022-11-04	586.0	593.95	596.95	580.4	595.7	25759031	15137053924.2	302456
51	2022-11-03	569.0	584.9	587.95	568.0	584.15	17557998	10211388603.8	244825
52	2022-11-02	575.9	573.85	578.95	569.9	573.0	10241440	5886694998.95	142730
53	2022-11-01	576.35	576.9	585.75	574.6	576.0	12069579	6998554295.3	163499
54	2022-10-31	574.95	573.8	577.45	568.4	573.5	9894639	5667560387.8	139535
55	2022-10-28	579.95	570.75	582.65	567.0	571.8	10043644	5751515569.95	144061
56	2022-10-27	583.95	579.65	585.0	577.6	579.1	13613533	7905525313.35	209377
57	2022-10-25	572.5	578.55	586.2	568.0	577.0	19899324	11507427412.85	215376
58	2022-10-24	567.0	570.5	572.5	565.9	572.15	3692065	2102464996.35	63147
59	2022-10-21	557.25	560.85	565.8	557.25	561.65	11767639	6621648120.8	198859
60	2022-10-20	552.0	555.4	556.8	545.3	555.5	11225588	6196328573.95	134915
61	2022-10-19	563.0	553.4	563.45	551.55	553.75	9540583	5298845388.7	137573
62	2022-10-18	547.1	562.45	563.5	546.75	562.4	20440781	11409791394.1	245391
63	2022-10-17	526.4	543.65	544.7	524.2	543.2	13485349	7264515862.55	208408
64	2022-10-14	530.2	527.2	534.85	526.0	527.8	8545479	4529375083.5	144578
65	2022-10-13	533.0	521.45	533.8	520.2	521.9	12972765	6816438201.85	166849
66	2022-10-12	530.0	533.8	535.0	526.0	535.0	8522604	4517236010.0	121592
67	2022-10-11	530.75	527.4	533.7	525.5	527.0	10825440	5730463472.65	159970
68	2022-10-10	525.7	530.75	533.9	522.2	531.4	9649292	5096052558.9	191653
69	2022-10-07	535.5	530.2	535.6	526.55	531.0	11065307	5860624159.5	185698
70	2022-10-06	534.6	537.3	541.8	534.6	537.35	9507322	5119102137.6	183101
71	2022-10-04	533.0	532.7	535.8	527.8	532.95	8745887	4656244525.45	128142
72	2022-10-03	527.6	519.75	531.65	518.5	518.95	9351162	4909456239.05	141130
73	2022-09-30	524.0	530.6	536.9	516.15	531.55	17466950	9225477677.2	199404
74	2022-09-29	529.0	521.75	535.7	519.55	524.0	17310168	9090986645.6	215284
75	2022-09-28	532.9	524.85	539.8	520.35	523.5	12233485	6510284800.4	183919
76	2022-09-27	544.55	536.5	550.9	533.2	538.0	11066799	6002626270.3	154979
77	2022-09-26	545.8	543.3	549.0	533.0	545.3	16158750	8747941723.25	274214
78	2022-09-23	564.8	550.6	568.0	549.5	550.9	12563239	6979215908.2	282839
79	2022-09-22	566.75	567.3	574.0	562.0	567.5	11869435	6734594427.3	181550
80	2022-09-21	575.0	569.7	577.3	565.4	569.0	9392526	5357998661.95	174676
81	2022-09-20	577.95	574.05	577.95	572.85	573.6	8484017	4882536374.35	176912
82	2022-09-19	560.7	572.25	574.4	559.55	572.5	11194003	6375398054.4	163866
83	2022-09-16	569.1	561.8	574.0	560.3	562.5	14739280	8321982741.65	231709
84	2022-09-15	572.55	572.15	578.5	567.9	571.5	12749947	7312060768.8	224387
85	2022-09-14	550.0	571.75	574.85	549.25	572.3	21632641	12282852152.3	301335
86	2022-09-13	560.0	558.0	560.0	553.75	557.1	16707275	9318085634.25	148044
87	2022-09-12	554.9	554.9	558.6	551.25	554.95	9677415	5377080074.6	127479
88	2022-09-09	549.65	553.35	557.0	548.0	551.95	18587927	10289692790.2	267586
89	2022-09-08	536.0	544.65	546.3	535.5	545.25	12240707	6628912370.75	141256
90	2022-09-07	534.4	532.85	537.45	531.55	532.1	8445359	4511895645.9	106610
91	2022-09-06	538.0	537.8	542.7	534.1	537.3	8657868	4670346677.0	108579
92	2022-09-05	537.0	538.9	540.8	536.3	538.75	7819994	4216330099.55	106157
93	2022-09-02	537.0	536.7	537.85	531.25	535.0	10017930	5363164755.2	124824
94	2022-09-01	522.25	533.3	540.9	522.25	534.25	16670228	8919650119.4	218023
95	2022-08-30	518.2	531.25	532.5	517.95	531.0	14835308	7838353166.55	166014
96	2022-08-29	511.3	514.85	517.0	508.75	515.0	9421339	4838957049.45	143380
97	2022-08-26	523.8	523.8	529.5	522.2	524.3	12855886	6751514077.25	128630
98	2022-08-25	521.95	520.4	528.3	518.5	520.15	15473450	8106540162.8	167210
99	2022-08-24	519.0	519.3	523.0	512.3	520.4	11930650	6178850761.4	143063
100	2022-08-23	508.25	521.9	524.0	508.25	523.0	8597965	4448995522.9	130274
101	2022-08-22	519.0	511.3	519.9	510.0	511.1	9676954	4965152207.8	165588
102	2022-08-19	532.0	520.35	533.65	518.5	520.05	11087222	5800622525.65	146387
103	2022-08-18	526.85	532.35	534.8	526.2	532.0	9013662	4791385825.2	120443
104	2022-08-17	528.85	528.15	530.55	524.35	527.8	12054183	6351246080.75	159055
105	2022-08-16	533.3	525.95	533.85	525.0	526.6	10721167	5657979793.75	145707
106	2022-08-12	525.7	530.7	531.8	525.15	531.0	12154012	6438750910.6	160036
107	2022-08-11	520.0	524.75	526.0	517.2	524.5	13862195	7232693557.9	192485
108	2022-08-10	521.55	514.7	523.5	513.4	513.9	16904151	8730379353.15	247601
109	2022-08-08	524.0	520.4	524.0	513.85	520.1	32566317	16869712451.35	416603
110	2022-08-05	535.55	531.05	542.9	529.0	532.35	21110734	11342675873.75	205564
111	2022-08-04	543.65	533.25	544.0	524.2	532.3	18072293	9631594662.25	201817
112	2022-08-03	541.9	540.85	546.4	534.65	540.5	24262125	13151082595.4	253745
