DATE,CLOSE,HIGH,LOW,PREV. CLOSE,VWAP,NO OF TRADES,OPEN
02/01/2023,2652.4,2659.15,2626.1,2637.6,2647.21,77678,2626.1
03/01/2023,2664.7,2672.8,2638.5,2652.4,2655.34,70613,2643.25
04/01/2023,2625.7,2670.0,2615.5,2664.7,2642.03,134227,2659.0
05/01/2023,2621.6,2644.3,2606.2,2625.7,2623.93,130753,2638.0
06/01/2023,2596.0,2635.0,2590.0,2621.6,2608.62,171225,2627.0
09/01/2023,2615.9,2629.95,2591.05,2596.0,2614.63,99535,2600.9
10/01/2023,2575.35,2615.85,2563.0,2615.9,2578.29,165445,2612.1
11/01/2023,2594.85,2605.2,2547.05,2575.35,2585.51,104086,2566.0
12/01/2023,2612.8,2621.6,2593.1,2594.85,2608.93,156863,2595.7
13/01/2023,2621.65,2631.1,2590.6,2612.8,2610.84,114890,2608.0
16/01/2023,2594.8,2648.0,2585.15,2621.65,2610.22,128335,2648.0
17/01/2023,2640.65,2643.9,2587.6,2594.8,2628.19,95454,2593.1
18/01/2023,2687.65,2691.35,2629.45,2640.65,2674.44,166265,2640.1
19/01/2023,2691.7,2700.0,2670.4,2687.65,2689.0,100582,2685.0
20/01/2023,2715.95,2732.0,2691.05,2691.7,2719.5,109634,2692.0
23/01/2023,2741.9,2750.85,2715.95,2715.95,2741.61,61425,2725.0
24/01/2023,2775.4,2780.0,2737.1,2741.9,2761.04,94861,2748.0
25/01/2023,2710.6,2769.95,2700.45,2775.4,2727.39,86484,2764.0
27/01/2023,2661.5,2699.0,2615.6,2710.6,2648.39,234721,2699.0
30/01/2023,2648.2,2661.0,2597.25,2661.5,2632.23,197283,2646.3
31/01/2023,2622.95,2654.5,2605.5,2648.2,2628.19,248083,2650.0
01/02/2023,2661.7,2729.85,2620.5,2622.95,2669.39,166751,2650.0
02/02/2023,2613.3,2649.85,2591.3,2661.7,2614.07,192570,2622.65
03/02/2023,2694.65,2698.0,2609.95,2613.3,2663.59,167965,2615.0
06/02/2023,2683.15,2707.7,2671.55,2694.65,2686.56,151422,2692.0
07/02/2023,2679.2,2694.9,2654.0,2683.15,2678.76,105225,2684.4
08/02/2023,2685.8,2704.0,2675.0,2679.2,2689.37,115455,2676.35
09/02/2023,2673.25,2692.45,2655.0,2685.8,2670.77,78679,2690.0
10/02/2023,2688.7,2693.4,2659.85,2673.25,2678.17,79965,2668.0
13/02/2023,2699.85,2702.9,2665.8,2688.7,2687.3,141637,2680.0
14/02/2023,2718.75,2720.0,2691.05,2699.85,2711.15,115998,2711.0
15/02/2023,2703.9,2718.85,2683.15,2718.75,2697.21,103603,2709.5
16/02/2023,2700.5,2724.8,2693.8,2703.9,2710.66,111634,2715.6
17/02/2023,2693.6,2700.0,2670.05,2700.5,2685.2,89037,2695.0
20/02/2023,2655.9,2705.0,2648.8,2693.6,2677.81,85760,2696.95
21/02/2023,2666.4,2689.9,2649.2,2655.9,2669.01,115781,2662.0
22/02/2023,2617.3,2664.45,2608.25,2666.4,2634.74,160811,2654.05
23/02/2023,2600.5,2617.6,2581.65,2617.3,2602.15,170865,2606.0
24/02/2023,2577.15,2617.75,2570.25,2600.5,2584.69,214037,2615.0
27/02/2023,2592.15,2602.0,2558.25,2577.15,2588.05,128227,2569.3
28/02/2023,2609.45,2622.05,2560.0,2592.15,2605.42,149938,2560.0
01/03/2023,2618.3,2627.85,2607.3,2609.45,2617.82,160277,2626.0
02/03/2023,2603.1,2626.95,2595.2,2618.3,2605.8,102714,2606.5
03/03/2023,2646.1,2660.0,2606.7,2603.1,2644.39,151644,2629.1
06/03/2023,2674.75,2693.0,2653.75,2646.1,2680.32,149959,2658.0
08/03/2023,2679.45,2696.8,2663.0,2674.75,2678.11,183793,2670.0
09/03/2023,2667.1,2692.0,2662.1,2679.45,2679.15,122160,2679.45
10/03/2023,2608.9,2649.95,2588.1,2667.1,2608.8,161736,2648.0
13/03/2023,2575.25,2626.5,2566.0,2608.9,2592.19,112629,2610.0
14/03/2023,2557.45,2595.45,2550.0,2575.25,2569.53,155077,2571.1
15/03/2023,2528.85,2586.6,2520.25,2557.45,2552.18,104645,2579.95
16/03/2023,2531.6,2548.15,2502.05,2528.85,2524.64,184506,2534.0
17/03/2023,2564.15,2579.4,2513.5,2531.6,2548.9,187942,2547.3
20/03/2023,2554.7,2577.0,2532.1,2564.15,2548.3,134288,2577.0
21/03/2023,2580.7,2584.0,2552.15,2554.7,2566.07,103395,2570.0
22/03/2023,2584.2,2591.4,2568.05,2580.7,2579.22,125667,2589.0
23/03/2023,2569.85,2600.0,2556.6,2584.2,2576.87,110407,2568.55
24/03/2023,2559.9,2586.6,2545.1,2569.85,2568.28,98467,2555.15
27/03/2023,2561.9,2579.4,2551.1,2559.9,2568.46,121137,2565.0
28/03/2023,2580.15,2584.0,2560.1,2561.9,2574.41,112504,2565.0
29/03/2023,2603.05,2614.0,2578.95,2580.15,2595.97,123275,2586.0
31/03/2023,2625.5,2632.0,2592.05,2603.05,2612.62,179997,2615.0
03/04/2023,2628.95,2634.8,2610.15,2625.5,2621.18,133123,2627.4
05/04/2023,2705.95,2710.05,2615.5,2628.95,2686.3,210188,2615.5
06/04/2023,2729.3,2734.8,2691.05,2705.95,2716.67,183938,2700.0
10/04/2023,2727.75,2748.15,2714.85,2729.3,2730.5,89935,2725.0
11/04/2023,2742.0,2747.0,2716.85,2727.75,2737.43,98197,2729.0
12/04/2023,2769.25,2774.4,2743.0,2742.0,2762.39,82275,2750.0
13/04/2023,2786.85,2791.95,2765.15,2769.25,2777.67,99979,2770.0
17/04/2023,2742.05,2827.95,2718.6,2786.85,2738.22,144883,2827.95
18/04/2023,2723.7,2754.7,2718.6,2742.05,2736.08,131950,2751.0
19/04/2023,2744.8,2748.7,2725.6,2723.7,2740.48,84686,2734.0
20/04/2023,2743.0,2756.55,2730.55,2744.8,2740.99,86236,2744.7
21/04/2023,2759.4,2763.55,2735.4,2743.0,2748.26,93216,2735.5
24/04/2023,2787.55,2791.2,2759.85,2759.4,2773.18,94056,2769.95
25/04/2023,2757.0,2792.0,2749.25,2787.55,2766.99,138611,2782.0
26/04/2023,2761.45,2767.3,2741.0,2757.0,2753.47,111928,2751.3
27/04/2023,2772.9,2781.0,2749.25,2761.45,2761.66,120544,2752.6
28/04/2023,2775.6,2780.85,2753.6,2772.9,2770.66,154074,2772.0
02/05/2023,2790.0,2804.0,2776.2,2775.6,2794.38,175681,2791.5
03/05/2023,2787.75,2793.8,2770.65,2790.0,2781.59,116346,2780.0
04/05/2023,2862.05,2867.0,2779.95,2787.75,2826.66,139109,2785.0
05/05/2023,2702.3,2758.0,2697.0,2862.05,2724.94,373354,2719.0
08/05/2023,2735.6,2744.8,2710.2,2702.3,2737.03,247251,2713.0
09/05/2023,2750.05,2767.0,2736.85,2735.6,2755.79,181222,2743.0
10/05/2023,2752.65,2755.65,2733.5,2750.05,2744.73,113731,2749.0
11/05/2023,2767.15,2776.15,2753.65,2752.65,2766.15,115811,2766.5
12/05/2023,2776.3,2785.55,2750.0,2767.15,2771.81,105374,2754.65
15/05/2023,2784.35,2796.0,2771.15,2776.3,2788.22,128105,2779.0
16/05/2023,2722.65,2764.85,2715.0,2784.35,2734.19,193322,2759.0
17/05/2023,2706.15,2727.0,2688.2,2722.65,2708.45,97763,2727.0
18/05/2023,2716.0,2732.35,2707.1,2706.15,2716.6,130582,2715.4
19/05/2023,2710.95,2731.7,2693.6,2716.0,2707.46,91126,2731.7
22/05/2023,2704.75,2720.95,2693.1,2710.95,2705.58,103394,2709.5
23/05/2023,2705.85,2718.65,2698.35,2704.75,2707.72,158713,2717.0
24/05/2023,2671.75,2704.65,2665.0,2705.85,2685.73,98510,2687.05
25/05/2023,2647.4,2669.95,2633.6,2671.75,2644.76,157468,2664.8
26/05/2023,2650.6,2657.95,2631.05,2647.4,2643.96,160840,2643.6
29/05/2023,2690.55,2700.0,2674.6,2650.6,2692.38,154903,2682.0
30/05/2023,2693.35,2702.9,2672.6,2690.55,2684.8,131169,2685.2
31/05/2023,2640.4,2685.4,2637.1,2693.35,2643.97,212195,2678.0
01/06/2023,2646.7,2670.0,2638.8,2640.4,2657.69,133117,2670.0
02/06/2023,2645.9,2655.0,2634.55,2646.7,2644.61,149323,2651.5
05/06/2023,2644.8,2661.9,2642.0,2645.9,2653.04,92945,2658.0
06/06/2023,2635.35,2649.0,2624.85,2644.8,2634.68,93140,2645.95
07/06/2023,2648.55,2655.0,2631.6,2635.35,2642.27,111118,2642.75
08/06/2023,2653.8,2678.0,2636.1,2648.55,2663.12,67668,2636.1
09/06/2023,2652.9,2667.9,2646.85,2653.8,2659.01,105203,2664.0
12/06/2023,2640.8,2664.0,2638.8,2652.9,2644.79,120137,2660.0
13/06/2023,2645.9,2654.8,2634.9,2640.8,2644.89,204702,2636.75
14/06/2023,2645.85,2656.0,2640.8,2645.9,2650.16,104610,2651.0
15/06/2023,2620.15,2652.15,2618.0,2645.85,2633.76,133342,2647.75
16/06/2023,2650.45,2664.0,2626.05,2620.15,2640.16,141657,2630.0
19/06/2023,2654.8,2669.0,2647.15,2650.45,2660.03,126625,2664.05
20/06/2023,2658.55,2663.0,2631.4,2654.8,2649.28,213400,2653.95
21/06/2023,2702.0,2704.9,2665.0,2658.55,2689.57,151303,2670.1
22/06/2023,2715.9,2738.95,2708.55,2702.0,2719.81,178797,2714.2
23/06/2023,2723.15,2742.7,2700.55,2715.9,2727.86,150667,2701.15
26/06/2023,2720.3,2728.7,2703.2,2723.15,2716.83,126679,2720.0
27/06/2023,2761.85,2781.55,2721.85,2720.3,2753.51,205002,2734.0
28/06/2023,2779.0,2785.0,2761.0,2761.85,2774.97,203484,2782.85
30/06/2023,2821.95,2830.0,2784.0,2779.0,2813.81,223733,2810.0
03/07/2023,2871.35,2927.4,2841.15,2821.95,2885.53,316337,2844.95
04/07/2023,2884.85,2916.05,2862.75,2871.35,2888.52,220947,2875.5
05/07/2023,2796.15,2866.0,2783.25,2884.85,2804.67,201782,2866.0
06/07/2023,2795.9,2816.5,2772.15,2796.15,2794.44,143985,2795.2
07/07/2023,2769.45,2795.0,2763.0,2795.9,2778.08,122868,2775.0
10/07/2023,2765.45,2799.2,2752.0,2769.45,2768.7,185285,2770.0
11/07/2023,2747.35,2794.8,2742.35,2765.45,2765.19,271404,2770.0
12/07/2023,2724.3,2777.65,2710.6,2747.35,2730.27,364667,2755.8
