DATE,CLOSE,HIGH,LOW,PREV. CLOSE,VWAP,NO OF TRADES,OPEN
02/01/2023,3841.2,3874.0,3822.55,3858.35,3847.82,42124,3870.0
03/01/2023,3830.95,3852.85,3791.0,3841.2,3830.96,38042,3841.9
04/01/2023,3827.05,3874.95,3803.6,3830.95,3833.86,47586,3839.0
05/01/2023,3829.8,3842.4,3756.9,3827.05,3813.43,49242,3827.05
06/01/2023,3824.25,3868.25,3797.05,3829.8,3834.29,44367,3829.0
09/01/2023,3855.3,3880.0,3811.25,3824.25,3850.6,42423,3843.0
10/01/2023,3646.9,3862.05,3555.0,3855.3,3672.11,161278,3859.0
11/01/2023,3635.8,3664.5,3560.1,3646.9,3616.79,104118,3660.0
12/01/2023,3647.2,3679.0,3612.0,3635.8,3644.0,61175,3642.5
13/01/2023,3721.15,3736.05,3642.2,3647.2,3693.45,71398,3651.2
16/01/2023,3619.8,3739.95,3600.0,3721.15,3637.65,81657,3720.0
17/01/2023,3639.35,3649.6,3560.2,3619.8,3615.39,75220,3620.0
18/01/2023,3596.7,3648.0,3527.1,3639.35,3590.24,123459,3648.0
19/01/2023,3463.55,3537.7,3426.7,3596.7,3468.31,153420,3470.0
20/01/2023,3456.15,3477.35,3440.95,3463.55,3456.32,55259,3450.0
23/01/2023,3436.35,3460.0,3412.55,3456.15,3435.17,45252,3443.05
24/01/2023,3442.0,3508.0,3430.0,3436.35,3458.77,62403,3447.45
25/01/2023,3388.95,3428.0,3315.0,3442.0,3372.68,114072,3422.0
27/01/2023,2761.45,3346.5,2712.0,3388.95,3010.35,562994,3335.0
30/01/2023,2892.85,3037.55,2665.0,2761.45,2865.44,907742,2850.0
31/01/2023,2973.9,3073.6,2906.0,2892.85,2984.79,497618,2980.0
01/02/2023,2135.35,3010.75,1941.2,2973.9,2540.21,566482,2995.0
02/02/2023,1565.25,2348.85,1494.75,2135.35,1827.68,1563346,2348.85
03/02/2023,1586.8,1679.9,1017.45,1565.25,1354.92,1704970,1490.0
06/02/2023,1572.7,1615.0,1435.2,1586.8,1539.88,911312,1575.0
07/02/2023,1802.95,1962.7,1525.6,1572.7,1764.46,809538,1571.0
08/02/2023,2164.25,2222.15,1840.85,1802.95,2023.24,861666,1869.85
09/02/2023,1925.7,2168.0,1731.4,2164.25,1972.72,829391,2168.0
10/02/2023,1846.95,1990.0,1733.15,1925.7,1891.35,539738,1769.0
13/02/2023,1717.65,1921.7,1662.25,1846.95,1753.0,617527,1850.0
14/02/2023,1749.7,1889.0,1611.35,1717.65,1736.55,687240,1735.0
15/02/2023,1779.1,1824.4,1750.0,1749.7,1788.18,385669,1780.0
16/02/2023,1796.6,1874.95,1790.0,1779.1,1818.58,298112,1820.0
17/02/2023,1722.7,1815.85,1703.2,1796.6,1747.8,282372,1800.0
20/02/2023,1621.45,1685.0,1560.5,1722.7,1623.91,334008,1650.0
21/02/2023,1571.1,1644.45,1561.3,1621.45,1598.62,281877,1626.0
22/02/2023,1404.85,1560.0,1381.2,1571.1,1439.33,509088,1535.0
23/02/2023,1382.65,1438.0,1350.0,1404.85,1394.0,427592,1380.0
24/02/2023,1315.65,1427.0,1261.6,1382.65,1321.15,422968,1410.0
27/02/2023,1193.5,1313.8,1131.05,1315.65,1222.37,487401,1300.0
28/02/2023,1363.85,1398.0,1103.75,1193.5,1307.03,1047492,1145.0
01/03/2023,1564.3,1580.0,1411.0,1363.85,1511.37,758963,1424.0
02/03/2023,1607.25,1646.0,1407.9,1564.3,1564.51,924791,1499.9
03/03/2023,1879.5,1905.95,1685.5,1607.25,1806.68,822488,1688.85
06/03/2023,1982.9,2135.0,1855.0,1879.5,2021.04,1230939,1966.7
08/03/2023,2039.65,2088.0,1941.0,1982.9,2029.34,625491,2040.0
09/03/2023,1953.15,2068.85,1905.35,2039.65,1970.16,629218,2049.8
10/03/2023,1896.2,1940.0,1820.6,1953.15,1889.62,465434,1870.0
13/03/2023,1874.4,1985.0,1857.4,1896.2,1922.43,373128,1917.0
14/03/2023,1738.2,1874.85,1651.35,1874.4,1742.93,551558,1874.0
15/03/2023,1839.0,1891.45,1728.1,1738.2,1809.83,573832,1760.9
16/03/2023,1843.8,1875.0,1795.0,1839.0,1838.73,311541,1861.0
17/03/2023,1876.55,1918.85,1845.0,1843.8,1870.8,263971,1901.0
20/03/2023,1804.95,1849.95,1777.4,1876.55,1805.76,227261,1837.0
21/03/2023,1824.25,1861.0,1804.95,1804.95,1829.3,158108,1836.95
22/03/2023,1815.4,1850.0,1806.15,1824.25,1825.77,130781,1834.0
23/03/2023,1794.0,1834.0,1780.0,1815.4,1806.17,169920,1794.0
24/03/2023,1740.65,1823.0,1695.25,1794.0,1756.97,274938,1796.0
27/03/2023,1723.05,1757.4,1682.0,1740.65,1723.26,225632,1740.65
28/03/2023,1600.85,1733.0,1573.0,1723.05,1631.04,355424,1727.95
29/03/2023,1740.4,1756.0,1591.1,1600.85,1692.55,372047,1602.95
31/03/2023,1750.45,1825.0,1740.0,1740.4,1773.0,217475,1788.0
03/04/2023,1717.45,1754.95,1695.5,1750.45,1717.59,142156,1750.45
05/04/2023,1698.0,1737.95,1671.55,1717.45,1700.22,153045,1717.45
