DATE,CLOSE,HIGH,LOW,PREV. CLOSE,VWAP,NO OF TRADES,OPEN
03/01/2022,470.8,472.0,460.1,460.45,467.17,168001,462.0
04/01/2022,483.5,484.7,471.05,470.8,479.89,246431,472.5
05/01/2022,492.4,495.0,479.15,483.5,489.5,240463,481.9
06/01/2022,491.7,494.4,485.4,492.4,490.44,195393,487.7
07/01/2022,491.25,501.95,489.45,491.7,495.38,254165,493.45
10/01/2022,503.65,504.95,492.5,491.25,499.62,178755,493.35
11/01/2022,505.95,507.8,499.25,503.65,504.2,214059,503.0
12/01/2022,510.25,513.5,508.5,505.95,511.05,178769,509.9
13/01/2022,511.35,512.85,507.0,510.25,510.36,160127,510.0
14/01/2022,508.35,510.35,505.15,511.35,507.82,151240,509.0
17/01/2022,514.0,518.9,507.55,508.35,515.37,230852,508.0
18/01/2022,506.8,517.45,505.0,514.0,512.7,144399,514.0
19/01/2022,515.8,517.65,500.3,506.8,508.61,190208,505.0
20/01/2022,511.4,519.15,508.0,515.8,513.81,193420,516.0
21/01/2022,502.7,507.5,498.0,511.4,503.16,215520,505.3
24/01/2022,494.15,506.8,488.0,502.7,497.31,255220,502.4
25/01/2022,514.65,517.5,489.0,494.15,507.46,290929,490.0
27/01/2022,528.95,530.85,503.2,514.65,520.47,391838,503.55
28/01/2022,523.45,536.4,521.4,528.95,529.78,310048,534.0
31/01/2022,538.3,540.9,527.05,523.45,535.63,315416,529.0
01/02/2022,532.3,543.95,520.0,538.3,533.59,330437,543.95
02/02/2022,539.8,544.25,531.35,532.3,536.94,222610,536.65
03/02/2022,540.1,544.7,537.15,539.8,540.99,323435,537.15
04/02/2022,530.3,546.4,527.3,540.1,535.9,325989,542.15
07/02/2022,533.25,549.0,525.25,530.3,538.29,564783,531.9
08/02/2022,531.35,537.65,519.0,533.25,528.4,305464,535.5
09/02/2022,535.25,536.5,527.75,531.35,532.72,191210,534.95
10/02/2022,540.55,543.95,534.4,535.25,540.35,228387,537.1
11/02/2022,529.6,537.7,527.1,540.55,532.27,177760,536.25
14/02/2022,501.4,515.6,499.7,529.6,508.66,364555,515.0
15/02/2022,524.8,526.85,497.1,501.4,510.42,270915,502.0
16/02/2022,516.7,528.0,514.0,524.8,519.94,223564,526.5
17/02/2022,512.95,520.0,511.15,516.7,515.23,183638,520.0
18/02/2022,515.3,520.9,510.1,512.95,515.84,167187,510.1
21/02/2022,511.85,517.5,504.65,515.3,511.82,186884,511.55
22/02/2022,498.4,505.3,495.5,511.85,500.1,285946,500.9
23/02/2022,498.7,505.35,497.25,498.4,501.32,174252,503.0
24/02/2022,472.65,487.95,468.0,498.7,479.75,430597,480.0
25/02/2022,482.95,491.9,479.3,472.65,485.29,245306,480.0
28/02/2022,483.2,485.3,473.1,482.95,479.74,240076,476.9
02/03/2022,474.25,479.8,467.0,483.2,473.1,319620,478.0
03/03/2022,467.4,483.4,464.6,474.25,470.45,255355,480.0
04/03/2022,461.95,470.9,457.65,467.4,464.01,271479,460.3
07/03/2022,440.3,453.95,433.45,461.95,439.85,474609,447.5
08/03/2022,440.3,442.1,425.0,440.3,434.44,431966,438.0
09/03/2022,451.7,454.3,438.55,440.3,445.45,347913,442.0
10/03/2022,468.7,476.65,461.65,451.7,469.95,328612,469.9
11/03/2022,470.35,474.8,462.0,468.7,470.21,219456,466.4
14/03/2022,485.15,486.0,470.55,470.35,480.43,275270,471.0
15/03/2022,485.85,490.5,480.65,485.15,485.62,300344,489.0
16/03/2022,492.75,494.3,489.4,485.85,492.21,172261,493.0
17/03/2022,501.9,503.5,498.3,492.75,501.29,221065,499.0
21/03/2022,490.6,502.0,489.0,501.9,493.32,224101,502.0
22/03/2022,493.7,495.8,477.25,490.6,486.29,264129,490.6
23/03/2022,490.65,502.4,489.2,493.7,495.13,168550,498.5
24/03/2022,487.1,494.8,483.5,490.65,489.44,191083,485.0
25/03/2022,490.7,493.3,486.6,487.1,490.04,145141,491.75
28/03/2022,497.5,498.6,481.95,490.7,491.67,201945,490.95
29/03/2022,495.0,501.4,491.7,497.5,496.03,149505,500.0
30/03/2022,494.3,500.4,492.3,495.0,496.58,196570,499.3
31/03/2022,493.55,497.55,492.2,494.3,494.45,124653,494.3
01/04/2022,508.2,509.75,491.0,493.55,503.37,197319,491.0
04/04/2022,512.4,514.9,506.0,508.2,511.42,198168,509.3
05/04/2022,509.4,516.4,507.7,512.4,512.46,152569,514.4
06/04/2022,513.95,515.2,506.0,509.4,510.73,156632,507.0
07/04/2022,514.95,519.9,510.05,513.95,515.08,193008,510.05
08/04/2022,516.1,519.5,512.35,514.95,516.11,142230,519.5
11/04/2022,514.9,522.0,513.2,516.1,518.25,181292,513.5
12/04/2022,512.85,516.7,504.35,514.9,510.3,179734,512.75
13/04/2022,517.7,520.9,513.75,512.85,517.08,150224,514.3
18/04/2022,509.5,515.0,504.0,517.7,509.48,206832,512.0
19/04/2022,511.8,520.95,505.1,509.5,515.99,240810,513.25
20/04/2022,509.3,513.7,507.0,511.8,510.2,153556,512.0
21/04/2022,516.3,518.0,512.2,509.3,515.24,108987,513.4
22/04/2022,500.6,513.5,499.0,516.3,505.07,208796,512.9
25/04/2022,494.75,499.2,490.05,500.6,495.06,186190,495.0
26/04/2022,505.5,507.9,498.45,494.75,504.31,158992,499.0
27/04/2022,497.25,502.8,491.85,505.5,496.78,142885,500.0
28/04/2022,507.5,510.0,496.5,497.25,503.04,134713,499.15
29/04/2022,496.3,512.5,494.0,507.5,503.59,143518,508.1
02/05/2022,491.0,495.0,481.3,496.3,487.35,232328,492.65
04/05/2022,479.65,496.45,477.5,491.0,487.2,221907,492.0
05/05/2022,480.0,494.0,478.65,479.65,487.16,185153,485.0
06/05/2022,483.95,486.1,471.0,480.0,478.71,216166,471.0
09/05/2022,475.9,483.7,473.8,483.95,477.81,170758,477.1
10/05/2022,475.2,482.55,473.5,475.9,477.99,183663,477.0
11/05/2022,476.55,479.0,463.65,475.2,471.45,241751,475.25
12/05/2022,462.65,473.0,456.35,476.55,462.77,314035,473.0
