DATE,CLOSE,HIGH,LOW,PREV. CLOSE,VWAP,NO OF TRADES,OPEN
12/04/2023,528.2,534.0,526.0,532.1,529.65,170950,533.2
13/04/2023,532.95,534.25,527.15,528.2,530.4,168188,529.3
17/04/2023,544.0,545.0,528.0,532.95,539.11,229953,528.0
18/04/2023,545.85,548.5,540.5,544.0,545.32,218269,545.35
19/04/2023,540.3,547.5,538.25,545.85,543.32,142208,544.0
20/04/2023,544.8,545.45,536.65,540.3,541.56,146793,541.2
21/04/2023,543.15,546.4,539.7,544.8,542.35,188920,545.0
24/04/2023,554.6,555.55,543.5,543.15,550.47,210456,543.8
25/04/2023,561.8,567.9,555.0,554.6,562.34,250488,555.0
26/04/2023,566.35,567.0,556.45,561.8,562.67,195651,562.0
27/04/2023,564.75,567.4,561.1,566.35,564.04,213129,565.0
28/04/2023,578.3,580.45,565.5,564.75,572.14,172070,567.8
02/05/2023,575.3,580.85,573.15,578.3,577.47,272846,580.0
03/05/2023,570.5,575.0,569.0,575.3,572.27,151234,570.65
04/05/2023,580.0,580.8,568.5,570.5,576.93,155082,570.2
05/05/2023,576.5,588.25,575.05,580.0,582.81,182941,580.2
08/05/2023,583.6,587.6,577.35,576.5,582.04,159186,577.65
09/05/2023,573.5,586.45,572.1,583.6,576.83,247801,585.0
10/05/2023,572.2,575.0,563.25,573.5,568.87,223302,575.0
11/05/2023,573.45,580.0,572.0,572.2,574.59,183896,572.2
12/05/2023,578.15,580.75,571.55,573.45,576.81,148890,574.7
15/05/2023,581.9,584.0,574.65,578.15,581.35,176477,578.75
16/05/2023,586.3,590.4,582.0,581.9,586.03,233142,584.0
17/05/2023,586.3,590.5,579.5,586.3,584.82,251054,586.0
18/05/2023,574.2,593.9,571.4,586.3,583.0,403645,590.3
19/05/2023,575.15,586.25,569.9,574.2,576.07,351340,579.0
22/05/2023,577.15,580.3,573.45,575.15,577.12,205172,577.5
23/05/2023,581.6,583.7,576.8,577.15,580.66,154666,578.9
24/05/2023,582.7,585.25,578.25,581.6,583.06,158808,579.8
25/05/2023,581.25,582.9,577.0,582.7,580.06,151117,582.0
26/05/2023,586.0,587.75,580.55,581.25,585.13,117540,581.25
29/05/2023,595.0,596.4,588.05,586.0,593.5,323484,590.0
30/05/2023,592.8,595.5,591.5,595.0,593.57,156739,595.0
31/05/2023,579.85,584.8,577.5,592.8,581.09,209733,583.8
01/06/2023,582.75,586.4,581.0,579.85,584.03,170662,581.8
02/06/2023,587.2,588.9,583.0,582.75,586.45,157397,584.7
05/06/2023,587.2,589.8,586.0,587.2,587.86,143514,588.5
06/06/2023,585.35,588.9,583.0,587.2,585.23,140444,588.0
07/06/2023,589.2,590.6,586.0,585.35,588.49,170307,588.0
08/06/2023,588.5,593.95,586.35,589.2,591.21,140988,589.95
09/06/2023,578.7,589.1,576.75,588.5,580.81,253490,588.0
12/06/2023,578.65,581.5,577.7,578.7,579.37,129364,580.0
