DATE,CLOSE,HIGH,LOW,PREV. CLOSE,VWAP,NO OF TRADES,OPEN
12/02/2021,393.15,399.35,385.55,390.15,392.34,406441,391.0
15/02/2021,406.95,409.45,395.7,393.15,403.08,439746,397.5
16/02/2021,402.35,415.75,400.3,406.95,407.39,574557,412.0
17/02/2021,411.75,414.85,400.15,402.35,410.54,499222,403.0
18/02/2021,415.2,427.7,413.7,411.75,419.02,583049,425.05
19/02/2021,399.55,415.0,395.0,415.2,405.06,479710,415.0
22/02/2021,389.5,401.0,385.65,399.55,392.32,443311,400.6
23/02/2021,395.6,399.7,389.0,389.5,395.45,342766,392.0
24/02/2021,406.25,410.5,395.2,395.6,404.08,340087,397.0
25/02/2021,407.25,414.9,406.55,406.25,410.68,355281,411.0
26/02/2021,390.15,401.0,387.0,407.25,393.88,536209,399.5
01/03/2021,394.95,397.7,391.0,390.15,394.72,245987,395.1
02/03/2021,394.2,399.55,390.55,394.95,394.42,249193,395.0
03/03/2021,405.05,408.9,396.0,394.2,404.09,326940,396.5
04/03/2021,395.65,403.5,394.45,405.05,399.48,285942,398.7
05/03/2021,383.65,395.0,378.1,395.65,384.66,599426,395.0
08/03/2021,389.6,393.4,386.05,383.65,389.52,297783,388.45
09/03/2021,387.6,394.9,382.25,389.6,389.13,220873,393.45
10/03/2021,387.7,393.0,385.7,387.6,388.21,187380,391.1
12/03/2021,381.1,393.2,377.5,387.7,385.33,296998,391.7
