Date,Order_dir,Quantity,Price
27/01/2023,BUY,1,539.95
30/01/2023,BUY,1,538.2
01/02/2023,BUY,1,527.35
18/04/2023,SELL,1,545.85
19/04/2023,SELL,1,540.3
20/04/2023,SELL,1,544.8
21/04/2023,SELL,1,543.15
24/04/2023,SELL,1,554.6
25/04/2023,SELL,1,561.8
16/06/2023,BUY,1,571.25
19/06/2023,BUY,1,568.85
22/06/2023,BUY,1,562.95
23/06/2023,BUY,1,554.6
26/06/2023,BUY,1,557.05
27/06/2023,BUY,1,566.1
06/07/2023,SELL,1,592.5
07/07/2023,SELL,1,593.6
10/07/2023,SELL,1,592.6
12/07/2023,SELL,1,589.25
13/07/2023,SELL,1,585.65
14/07/2023,SELL,1,584.4
09/08/2023,BUY,1,573.75
10/08/2023,BUY,1,573.65
11/08/2023,BUY,1,574.15
14/08/2023,BUY,1,560.8
16/08/2023,BUY,1,565.35
17/08/2023,BUY,1,572.15
20/09/2023,SELL,1,601.1
20/10/2023,BUY,1,563.1
12/11/2023,SELL,1,581.3
13/11/2023,SELL,1,581.35
15/11/2023,SELL,1,584.7
16/11/2023,SELL,1,584.65
08/12/2023,SELL,1,614.15
11/12/2023,SELL,1,614.25
