Date,Order_dir,Quantity,Price
10/01/2023,SELL,1,595.15
19/01/2023,SELL,1,589.85
27/01/2023,SELL,1,539.95
30/01/2023,SELL,1,538.2
01/02/2023,SELL,1,527.35
11/05/2023,BUY,1,573.45
22/05/2023,BUY,1,577.15
23/05/2023,BUY,1,581.6
24/05/2023,BUY,1,582.7
25/05/2023,BUY,1,581.25
23/06/2023,SELL,1,554.6
26/07/2023,BUY,1,615.15
31/07/2023,BUY,1,620.2
03/08/2023,BUY,1,590.5
04/08/2023,BUY,1,573.3
07/08/2023,BUY,1,567.9
21/08/2023,BUY,1,571.7
29/09/2023,SELL,1,598.55
03/10/2023,SELL,1,602.95
23/10/2023,SELL,1,552.95
25/10/2023,SELL,1,556.2
26/10/2023,SELL,1,547
28/11/2023,BUY,1,564.45
29/11/2023,BUY,1,568.6
04/12/2023,BUY,1,594.7
05/12/2023,BUY,1,608.25
06/12/2023,BUY,1,608.45
