Date,Cashflow
23/05/2022,0
24/05/2022,-462.05
25/05/2022,-7.95
26/05/2022,-476.85
27/05/2022,-945.8
30/05/2022,-1420.4
31/05/2022,-1420.4
01/06/2022,-1420.4
02/06/2022,-1420.4
03/06/2022,-1420.4
06/06/2022,-1420.4
07/06/2022,-957
08/06/2022,-1428.3
09/06/2022,-1428.3
10/06/2022,-966.45
13/06/2022,-520.6
14/06/2022,-72.5
15/06/2022,378.85
16/06/2022,820.45
17/06/2022,1261.45
20/06/2022,1261.45
21/06/2022,1261.45
22/06/2022,1261.45
23/06/2022,1261.45
24/06/2022,1261.45
27/06/2022,800.25
28/06/2022,336
29/06/2022,-123.1
30/06/2022,-589
01/07/2022,-1055.85
04/07/2022,-1529.3
05/07/2022,-1529.3
06/07/2022,-1529.3
07/07/2022,-1529.3
08/07/2022,-1529.3
11/07/2022,-1529.3
12/07/2022,-1529.3
13/07/2022,-1529.3
14/07/2022,-1529.3
15/07/2022,-1529.3
18/07/2022,-1529.3
19/07/2022,-1529.3
20/07/2022,-1529.3
21/07/2022,-1529.3
22/07/2022,-1529.3
25/07/2022,-1529.3
26/07/2022,-1529.3
27/07/2022,-1529.3
28/07/2022,-1529.3
29/07/2022,-1000.95
01/08/2022,-1534.7
02/08/2022,-1534.7
03/08/2022,-1534.7
04/08/2022,-1534.7
05/08/2022,-1534.7
08/08/2022,-1014.3
10/08/2022,-499.6
11/08/2022,25.15
12/08/2022,555.85
16/08/2022,1081.8
17/08/2022,1609.95
18/08/2022,1609.95
19/08/2022,1609.95
22/08/2022,1609.95
23/08/2022,1609.95
24/08/2022,1609.95
25/08/2022,1609.95
26/08/2022,1609.95
29/08/2022,1609.95
30/08/2022,1609.95
01/09/2022,1609.95
02/09/2022,1609.95
05/09/2022,1071.05
06/09/2022,533.25
07/09/2022,0.4
08/09/2022,-544.25
09/09/2022,-1097.6
12/09/2022,-1652.5
13/09/2022,-1652.5
14/09/2022,-1652.5
15/09/2022,-1652.5
16/09/2022,-1652.5
19/09/2022,-1652.5
20/09/2022,-1652.5
21/09/2022,-1652.5
22/09/2022,-1652.5
23/09/2022,-1101.9
26/09/2022,-558.6
27/09/2022,-22.1
28/09/2022,502.75
29/09/2022,1024.5
30/09/2022,1555.1
03/10/2022,1555.1
04/10/2022,1555.1
06/10/2022,1555.1
07/10/2022,1555.1
10/10/2022,1555.1
11/10/2022,1555.1
12/10/2022,1555.1
13/10/2022,1555.1
14/10/2022,1555.1
17/10/2022,1555.1
18/10/2022,992.65
19/10/2022,439.25
20/10/2022,-116.15
21/10/2022,-677
24/10/2022,-1247.5
25/10/2022,-1826.05
27/10/2022,-1826.05
28/10/2022,-1826.05
31/10/2022,-1826.05
01/11/2022,-1826.05
02/11/2022,-1826.05
03/11/2022,-1826.05
04/11/2022,-1826.05
07/11/2022,-1826.05
09/11/2022,-1826.05
10/11/2022,-1826.05
11/11/2022,-1224.75
14/11/2022,-1817.3
15/11/2022,-1817.3
16/11/2022,-1817.3
17/11/2022,-1218.25
18/11/2022,-615.55
21/11/2022,-17.45
22/11/2022,581.65
23/11/2022,1189.3
24/11/2022,1798.65
25/11/2022,1798.65
28/11/2022,1798.65
29/11/2022,1798.65
30/11/2022,1798.65
01/12/2022,1798.65
02/12/2022,1798.65
05/12/2022,1798.65
06/12/2022,1798.65
07/12/2022,1798.65
08/12/2022,1798.65
09/12/2022,1798.65
12/12/2022,1798.65
13/12/2022,1798.65
14/12/2022,1798.65
15/12/2022,1798.65
16/12/2022,1798.65
19/12/2022,1798.65
20/12/2022,1798.65
21/12/2022,1798.65
22/12/2022,1798.65
23/12/2022,1798.65
26/12/2022,1798.65
27/12/2022,1798.65
28/12/2022,1798.65
29/12/2022,1798.65
30/12/2022,1798.65
02/01/2023,1186.45
03/01/2023,574.05
04/01/2023,-31.15
05/01/2023,-636.25
06/01/2023,-35.6
09/01/2023,572.1
10/01/2023,1167.25
11/01/2023,1763.95
12/01/2023,1763.95
13/01/2023,1763.95
16/01/2023,1763.95
17/01/2023,1763.95
18/01/2023,1763.95
19/01/2023,1763.95
20/01/2023,1763.95
23/01/2023,1763.95
24/01/2023,1763.95
25/01/2023,1763.95
27/01/2023,1763.95
30/01/2023,1763.95
31/01/2023,1763.95
01/02/2023,1763.95
02/02/2023,1763.95
03/02/2023,1763.95
06/02/2023,1763.95
07/02/2023,1763.95
08/02/2023,1763.95
09/02/2023,1763.95
10/02/2023,1210.9
