Date,Order_dir,Quantity,Price
13/04/2023,SELL,1,2786.85
17/04/2023,SELL,1,2742.05
18/04/2023,BUY,1,2723.7
19/04/2023,SELL,1,2744.8
20/04/2023,SELL,1,2743
21/04/2023,SELL,1,2759.4
24/04/2023,SELL,1,2787.55
25/04/2023,SELL,1,2757
26/04/2023,SELL,1,2761.45
27/04/2023,SELL,1,2772.9
28/04/2023,SELL,1,2775.6
02/05/2023,SELL,1,2790
03/05/2023,SELL,1,2787.75
04/05/2023,SELL,1,2862.05
05/05/2023,SELL,1,2702.3
08/05/2023,BUY,1,2735.6
09/05/2023,SELL,1,2750.05
10/05/2023,SELL,1,2752.65
11/05/2023,SELL,1,2767.15
12/05/2023,SELL,1,2776.3
15/05/2023,SELL,1,2784.35
16/05/2023,SELL,1,2722.65
17/05/2023,SELL,1,2706.15
18/05/2023,SELL,1,2716
19/05/2023,SELL,1,2710.95
22/05/2023,SELL,1,2704.75
23/05/2023,SELL,1,2705.85
24/05/2023,SELL,1,2671.75
25/05/2023,SELL,1,2647.4
26/05/2023,SELL,1,2650.6
29/05/2023,SELL,1,2690.55
30/05/2023,SELL,1,2693.35
31/05/2023,SELL,1,2640.4
01/06/2023,BUY,1,2646.7
02/06/2023,SELL,1,2645.9
05/06/2023,SELL,1,2644.8
06/06/2023,SELL,1,2635.35
07/06/2023,SELL,1,2648.55
08/06/2023,SELL,1,2653.8
09/06/2023,SELL,1,2652.9
12/06/2023,SELL,1,2640.8
