A[32] B[32] Result[32] OverFlow ALUSel[4] Zero
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 0 1100 1
11111111111111111000000000000101 11111111111111111000000000000000 00000000000000000000000000000101 0 1100 0
11111111111111111000000000000110 11111111111111111000000000000000 00000000000000000000000000000110 0 1100 0
11111111111111111000000000000111 11111111111111111000000000000000 00000000000000000000000000000111 0 1100 0
11111111111111111000000000001000 11111111111111111000000000000000 00000000000000000000000000001000 0 1100 0
11111111111111111000000000001001 11111111111111111000000000000000 00000000000000000000000000001001 0 1100 0
11111111111111111000000000001010 11111111111111111000000000000000 00000000000000000000000000001010 0 1100 0
11111111111111111000000000001011 11111111111111111000000000000000 00000000000000000000000000001011 0 1100 0
11111111111111111000000000001100 11111111111111111000000000000000 00000000000000000000000000001100 0 1100 0
11111111111111111000000000001101 11111111111111111000000000000000 00000000000000000000000000001101 0 1100 0
11111111111111111000000000001110 11111111111111111000000000000000 00000000000000000000000000001110 0 1100 0
11111111111111111000000000001111 11111111111111111000000000000000 00000000000000000000000000001111 0 1100 0
11111111111111111000000000010000 11111111111111111000000000000000 00000000000000000000000000010000 0 1100 0
11111111111111111000000000010001 11111111111111111000000000000000 00000000000000000000000000010001 0 1100 0
11111111111111111000000000010010 11111111111111111000000000000000 00000000000000000000000000010010 0 1100 0
11111111111111111000000000010011 11111111111111111000000000000000 00000000000000000000000000010011 0 1100 0
11111111111111111000000000010100 11111111111111111000000000000000 00000000000000000000000000010100 0 1100 0
11111111111111111000000000010101 11111111111111111000000000000000 00000000000000000000000000010101 0 1100 0
11111111111111111000000000010110 11111111111111111000000000000000 00000000000000000000000000010110 0 1100 0
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 0 0000 1
11111111111111111000000000000101 11111111111111111000000000000000 11111111111111110000000000000101 1 0000 0
11111111111111111000000000000110 11111111111111111000000000000000 11111111111111110000000000000110 1 0000 0
11111111111111111000000000000111 11111111111111111000000000000000 11111111111111110000000000000111 1 0000 0
11111111111111111000000000001000 11111111111111111000000000000000 11111111111111110000000000001000 1 0000 0
11111111111111111000000000001001 11111111111111111000000000000000 11111111111111110000000000001001 1 0000 0
11111111111111111000000000001010 11111111111111111000000000000000 11111111111111110000000000001010 1 0000 0
11111111111111111000000000001011 11111111111111111000000000000000 11111111111111110000000000001011 1 0000 0
11111111111111111000000000001100 11111111111111111000000000000000 11111111111111110000000000001100 1 0000 0
11111111111111111000000000001101 11111111111111111000000000000000 11111111111111110000000000001101 1 0000 0
11111111111111111000000000001110 11111111111111111000000000000000 11111111111111110000000000001110 1 0000 0
11111111111111111000000000001111 11111111111111111000000000000000 11111111111111110000000000001111 1 0000 0
11111111111111111000000000010000 11111111111111111000000000000000 11111111111111110000000000010000 1 0000 0
11111111111111111000000000010001 11111111111111111000000000000000 11111111111111110000000000010001 1 0000 0
11111111111111111000000000010010 11111111111111111000000000000000 11111111111111110000000000010010 1 0000 0
11111111111111111000000000010011 11111111111111111000000000000000 11111111111111110000000000010011 1 0000 0
11111111111111111000000000010100 11111111111111111000000000000000 11111111111111110000000000010100 1 0000 0
11111111111111111000000000010101 11111111111111111000000000000000 11111111111111110000000000010101 1 0000 0
11111111111111111000000000010110 11111111111111111000000000000000 11111111111111110000000000010110 1 0000 0
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 0 0110 1
11111111111111111000000000000101 11111111111111111000000000000000 11111111111111111000000000000101 0 0110 0
11111111111111111000000000000110 11111111111111111000000000000000 11111111111111111000000000000110 0 0110 0
11111111111111111000000000000111 11111111111111111000000000000000 11111111111111111000000000000111 0 0110 0
11111111111111111000000000001000 11111111111111111000000000000000 11111111111111111000000000001000 0 0110 0
11111111111111111000000000001001 11111111111111111000000000000000 11111111111111111000000000001001 0 0110 0
11111111111111111000000000001010 11111111111111111000000000000000 11111111111111111000000000001010 0 0110 0
11111111111111111000000000001011 11111111111111111000000000000000 11111111111111111000000000001011 0 0110 0
11111111111111111000000000001100 11111111111111111000000000000000 11111111111111111000000000001100 0 0110 0
11111111111111111000000000001101 11111111111111111000000000000000 11111111111111111000000000001101 0 0110 0
11111111111111111000000000001110 11111111111111111000000000000000 11111111111111111000000000001110 0 0110 0
11111111111111111000000000001111 11111111111111111000000000000000 11111111111111111000000000001111 0 0110 0
11111111111111111000000000010000 11111111111111111000000000000000 11111111111111111000000000010000 0 0110 0
11111111111111111000000000010001 11111111111111111000000000000000 11111111111111111000000000010001 0 0110 0
11111111111111111000000000010010 11111111111111111000000000000000 11111111111111111000000000010010 0 0110 0
11111111111111111000000000010011 11111111111111111000000000000000 11111111111111111000000000010011 0 0110 0
11111111111111111000000000010100 11111111111111111000000000000000 11111111111111111000000000010100 0 0110 0
