A[16] B[16] Result[16] over cin
0000000000000000 0000000000000000 0000000000000000 0 0
1000000000000101 1000000000000000 0000000000000101 1 0
1000000000000110 1000000000000000 0000000000000110 1 0
1000000000000111 1000000000000000 0000000000000111 1 0
1000000000001000 1000000000000000 0000000000001000 1 0
1000000000001001 1000000000000000 0000000000001001 1 0
1000000000001010 1000000000000000 0000000000001010 1 0
1000000000001011 1000000000000000 0000000000001011 1 0
1000000000001100 1000000000000000 0000000000001100 1 0
1000000000001101 1000000000000000 0000000000001101 1 0
1000000000001110 1000000000000000 0000000000001110 1 0
1000000000001111 1000000000000000 0000000000001111 1 0
1000000000010000 1000000000000000 0000000000010000 1 0
1000000000010001 1000000000000000 0000000000010001 1 0
1000000000010010 1000000000000000 0000000000010010 1 0
1000000000010011 1000000000000000 0000000000010011 1 0
1000000000010100 1000000000000000 0000000000010100 1 0
1000000000010101 1000000000000000 0000000000010101 1 0
1000000000010110 1000000000000000 0000000000010110 1 0
1111111111111111 0000000000000000 0000000000000000 1 1
